# Old jupiterlaser.com URL -> its closest equivalent on the new site.
#
# Source of truth. _dev/gen-redirects.py writes vercel.json, _redirects and
# .htaccess from this file, so the three can never drift apart. Edit here, then
# run the generator. Do not hand-edit the three outputs.
#
# Built from a real crawl of all four Yoast sitemaps (_dev/crawl-old-site.py),
# not from guessing slugs: 157 live URLs, of which 8 already exist unchanged on
# the new site and 149 need a target. Before this, 27 redirects covered 17 of
# them and 132 URLs would have 404'd the moment DNS moved.
#
# The rule that matters: redirect to the closest *equivalent*, never to / in
# bulk. Google treats a mass redirect to the homepage as a soft 404 and discards
# the link equity, which is the whole thing a redirect exists to carry. Nothing
# in this file targets /. Where no specific page exists, the section hub is the
# honest answer -- a reader landing on /conditions/ from a hammer-toe article
# has somewhere to go; one landing on / does not.
#
# Columns: old path (no trailing slash) <TAB> destination <TAB> why
old	destination	why

# ---- Pages: services and conditions the old site had as top-level -----------
/about-us	/about/	direct equivalent
/accessibility-disclaimer	/accessibility/	direct equivalent
/achilles-tendonitis-treatment	/conditions/achilles-tendonitis/	direct equivalent
/ankle	/services/foot-ankle-surgery/	old page was "Ankle Surgery Jupiter"
/ankle-arthroscopy	/services/foot-ankle-surgery/	specific procedure, surgery page covers it
/ankle-replacement-surgery	/services/foot-ankle-surgery/	specific procedure, surgery page covers it
/bunion	/conditions/bunions/	direct equivalent
/bunionplasty-procedure-jupiter-fl	/conditions/bunions/	branded bunion procedure
/cysts-warts	/conditions/	no dedicated page; hub lists what is treated
/diabetic-foot-care	/conditions/diabetic-foot-care/	direct equivalent
/dr-isin-a-mustafa	/meet-dr-mustafa/	direct equivalent
/flat-feet	/conditions/flat-feet/	direct equivalent
/fractures-breaks	/conditions/sprains-strains/	nearest acute-injury page
/metatarsalgia	/conditions/	forefoot pain, no dedicated page
/mls	/services/mls-laser-therapy/	direct equivalent
/neuropathy-solutions	/conditions/neuropathy/	direct equivalent
/plantar-fasciitis	/conditions/plantar-fasciitis/	direct equivalent
/plantar-plate	/conditions/	no dedicated page
/policy	/privacy/	direct equivalent
/providers	/about/	both doctors are on the about page
/regenerative-medicine	/services/regenerative-medicine/	direct equivalent
/request-an-appointment	/contact/	direct equivalent
/saphenous-vein-insufficiency	/conditions/venous-insufficiency/	page written from this one
/services/foot-bbl-treatment-jupiter-fl	/services/foot-bbl/	direct equivalent
/sports-injuries	/conditions/sports-injuries/	direct equivalent
/stem-cell-therapy	/services/stem-cell-therapy/	direct equivalent
/terms	/privacy/	no separate terms page; privacy is the legal page
/testimonials	/reviews/	direct equivalent
/vein-treatment	/services/vein-treatment/	direct equivalent
/videos	/media/	direct equivalent
/wound-care	/services/wound-care/	direct equivalent

# ---- Posts: Achilles -------------------------------------------------------
/achilles-tendon-treatment-jupiter	/conditions/achilles-tendonitis/	topic match
/achilles-tendonitis-symptoms-causes-treatment	/conditions/achilles-tendonitis/	topic match
/how-advanced-diagnostic-tools-help-in-accurate-assessment-of-achilles-tendonitis	/conditions/achilles-tendonitis/	topic match
/how-laser-therapy-can-speed-up-the-healing-of-achilles-tendonitis	/conditions/achilles-tendonitis/	topic match
/is-your-achilles-tendon-pain-due-to-tendonitis-or-tendinosis	/conditions/achilles-tendonitis/	topic match
/mls-laser-therapy-achilles-tendonitis	/conditions/achilles-tendonitis/	topic match
/recovering-from-achilles-tendon-injuries-best-practices	/conditions/achilles-tendonitis/	topic match
/returning-physical-activity-achilles-tendonitis	/conditions/achilles-tendonitis/	topic match
/what-is-achilles-tendonitis-symptoms-causes-and-risk-factors-explained	/conditions/achilles-tendonitis/	topic match

# ---- Posts: bunions --------------------------------------------------------
/bunion-pain-relief-treatment-options	/conditions/bunions/	topic match
/bunions-what-are-symptoms-causes-treatment	/conditions/bunions/	topic match
/foot-bone-correctors-do-they-really-work-or-is-surgery-better	/conditions/bunions/	bone correctors are marketed for bunions
/is-bunionplasty-best-procedure-for-you	/conditions/bunions/	topic match
/is-lapiplasty-bunion-surgery-right-for-you	/conditions/bunions/	topic match
/minimally-invasive-bunion-surgery-jupiter	/conditions/bunions/	topic match
/minimally-invasive-bunion-surgery-recovery-tips-what-to-expect	/conditions/bunions/	topic match
/signs-you-might-need-bunion-surgery-what-to-expect	/conditions/bunions/	topic match
/understanding-bunions-causes-symptoms-and-effective-treatments	/conditions/bunions/	topic match
/what-to-expect-before-during-and-after-bunion-surgery-in-jupiter	/conditions/bunions/	topic match

# ---- Posts: diabetic foot --------------------------------------------------
